stage,target,class,jobs,upstream_parallel,recipe,dependencies
0001-tools-c3ba0b70,tools/install,light,24,framework,,
0002-toolchain-406879f9,toolchain/install,toolchain,12,framework,,
0003-kernel-e874015f,target/compile,kernel,24,framework,,
0004-packages-light-45930c96,package/boot/arm-trusted-firmware-tools/host/compile,light,24,upstream default (serial unless framework changes it),package/boot/arm-trusted-firmware-tools/Makefile,
0004-packages-light-45930c96,package/devel/gperf/host/compile,light,24,upstream default (serial unless framework changes it),package/devel/gperf/Makefile,
0004-packages-light-45930c96,package/feeds/luci/csstidy/host/compile,light,24,upstream default (serial unless framework changes it),package/feeds/luci/csstidy/Makefile,
0004-packages-light-45930c96,package/feeds/luci/luci-base/host/compile,light,24,upstream default (serial unless framework changes it),package/feeds/luci/luci-base/Makefile,
0004-packages-light-45930c96,package/feeds/packages/gn/host/compile,light,24,1,package/feeds/packages/gn/Makefile,
0004-packages-light-45930c96,package/feeds/packages/hwinfo/host/compile,light,24,upstream default (serial unless framework changes it),package/feeds/packages/hwinfo/Makefile,
0004-packages-light-45930c96,package/feeds/packages/libffi/host/compile,light,24,upstream default (serial unless framework changes it),package/feeds/packages/libffi/Makefile,
0004-packages-light-45930c96,package/feeds/packages/libtasn1/host/compile,light,24,upstream default (serial unless framework changes it),package/feeds/packages/libtasn1/Makefile,
0004-packages-light-45930c96,package/feeds/packages/libtirpc/host/compile,light,24,1,package/feeds/packages/libtirpc/Makefile,
0004-packages-light-45930c96,package/feeds/packages/perl/host/compile,light,24,1,package/feeds/packages/perl/Makefile,
0004-packages-light-45930c96,package/kernel/gpio-button-hotplug/compile,light,24,upstream default (serial unless framework changes it),package/kernel/gpio-button-hotplug/Makefile,
0004-packages-light-45930c96,package/libs/libiconv-full/host/compile,light,24,upstream default (serial unless framework changes it),package/libs/libiconv-full/Makefile,
0004-packages-light-45930c96,package/libs/libjson-c/host/compile,light,24,upstream default (serial unless framework changes it),package/libs/libjson-c/Makefile,
0004-packages-light-45930c96,package/libs/libunistring/host/compile,light,24,upstream default (serial unless framework changes it),package/libs/libunistring/Makefile,
0004-packages-light-45930c96,package/libs/ncurses/host/compile,light,24,upstream default (serial unless framework changes it),package/libs/ncurses/Makefile,
0004-packages-light-45930c96,package/libs/pcre2/host/compile,light,24,upstream default (serial unless framework changes it),package/libs/pcre2/Makefile,
0004-packages-light-45930c96,package/libs/toolchain/compile,light,24,upstream default (serial unless framework changes it),package/libs/toolchain/Makefile,
0004-packages-light-45930c96,package/system/fwtool/host/compile,light,24,upstream default (serial unless framework changes it),package/system/fwtool/Makefile,
0004-packages-light-45930c96,package/system/usign/host/compile,light,24,upstream default (serial unless framework changes it),package/system/usign/Makefile,
0004-packages-light-45930c96,package/utils/bzip2/host/compile,light,24,upstream default (serial unless framework changes it),package/utils/bzip2/Makefile,
0004-packages-light-45930c96,package/utils/lua/host/compile,light,24,upstream default (serial unless framework changes it),package/utils/lua/Makefile,
0005-packages-light-b6e9d9c2,package/boot/arm-trusted-firmware-mediatek/compile,light,24,upstream default (serial unless framework changes it),package/boot/arm-trusted-firmware-mediatek/Makefile,package/libs/toolchain/compile
0005-packages-light-b6e9d9c2,package/feeds/packages/acme-common/compile,light,24,upstream default (serial unless framework changes it),package/feeds/packages/acme-common/Makefile,package/libs/toolchain/compile
0005-packages-light-b6e9d9c2,package/feeds/packages/attr/compile,light,24,1,package/feeds/packages/attr/Makefile,package/libs/toolchain/compile
0005-packages-light-b6e9d9c2,package/feeds/packages/bridge-utils/compile,light,24,1,package/feeds/packages/bridge-utils/Makefile,package/libs/toolchain/compile
0005-packages-light-b6e9d9c2,package/feeds/packages/btop/compile,light,24,1,package/feeds/packages/btop/Makefile,package/libs/toolchain/compile
0005-packages-light-b6e9d9c2,package/feeds/packages/c-ares/compile,light,24,upstream default (serial unless framework changes it),package/feeds/packages/c-ares/Makefile,package/libs/toolchain/compile
0005-packages-light-b6e9d9c2,package/feeds/packages/chinadns-ng/compile,light,24,upstream default (serial unless framework changes it),package/feeds/packages/chinadns-ng/Makefile,package/libs/toolchain/compile
0005-packages-light-b6e9d9c2,package/feeds/packages/coremark/compile,light,24,upstream default (serial unless framework changes it),package/feeds/packages/coremark/Makefile,package/libs/toolchain/compile
0005-packages-light-b6e9d9c2,package/feeds/packages/cpulimit/compile,light,24,1,package/feeds/packages/cpulimit/Makefile,package/libs/toolchain/compile
0005-packages-light-b6e9d9c2,package/feeds/packages/cpusage/compile,light,24,upstream default (serial unless framework changes it),package/feeds/packages/cpusage/Makefile,package/libs/toolchain/compile
0005-packages-light-b6e9d9c2,package/feeds/packages/dejavu-fonts-ttf/compile,light,24,upstream default (serial unless framework changes it),package/feeds/packages/dejavu-fonts-ttf/Makefile,package/libs/toolchain/compile
0005-packages-light-b6e9d9c2,package/feeds/packages/dhcp-forwarder/compile,light,24,1,package/feeds/packages/dhcp-forwarder/Makefile,package/libs/toolchain/compile
0005-packages-light-b6e9d9c2,package/feeds/packages/dhcpcd/compile,light,24,1,package/feeds/packages/dhcpcd/Makefile,package/libs/toolchain/compile
0005-packages-light-b6e9d9c2,package/feeds/packages/dns2socks/compile,light,24,upstream default (serial unless framework changes it),package/feeds/packages/dns2socks/Makefile,package/libs/toolchain/compile
0005-packages-light-b6e9d9c2,package/feeds/packages/dns2tcp/compile,light,24,1,package/feeds/packages/dns2tcp/Makefile,package/libs/toolchain/compile
0005-packages-light-b6e9d9c2,package/feeds/packages/dos2unix/compile,light,24,1,package/feeds/packages/dos2unix/Makefile,package/libs/toolchain/compile
0005-packages-light-b6e9d9c2,package/feeds/packages/dosfstools/compile,light,24,upstream default (serial unless framework changes it),package/feeds/packages/dosfstools/Makefile,package/libs/toolchain/compile
0005-packages-light-b6e9d9c2,package/feeds/packages/etherwake/compile,light,24,upstream default (serial unless framework changes it),package/feeds/packages/etherwake/Makefile,package/libs/toolchain/compile
0005-packages-light-b6e9d9c2,package/feeds/packages/exfatprogs/compile,light,24,1,package/feeds/packages/exfatprogs/Makefile,package/libs/toolchain/compile
0005-packages-light-b6e9d9c2,package/feeds/packages/expat/compile,light,24,upstream default (serial unless framework changes it),package/feeds/packages/expat/Makefile,package/libs/toolchain/compile
0005-packages-light-b6e9d9c2,package/feeds/packages/gdbm/compile,light,24,0,package/feeds/packages/gdbm/Makefile,package/libs/toolchain/compile
0005-packages-light-b6e9d9c2,package/feeds/packages/glib2/host/compile,light,24,upstream default (serial unless framework changes it),package/feeds/packages/glib2/Makefile,package/feeds/packages/libffi/host/compile package/libs/libiconv-full/host/compile package/libs/pcre2/host/compile
