symbol	x86_value	r3_value
CONFIG_DROPBEAR_ASKPASS	y	n
CONFIG_DROPBEAR_ZLIB	y	n
CONFIG_LIBQMI_COLLECTION_FULL	y	n
CONFIG_OPENSSH_LIBFIDO2	y	n
CONFIG_PACKAGE_B43_BUSES_BCMA_AND_SSB	y	n
CONFIG_PACKAGE_B43_PHY_G	y	n
CONFIG_PACKAGE_B43_PHY_HT	y	n
CONFIG_PACKAGE_B43_PHY_LP	y	n
CONFIG_PACKAGE_B43_PHY_N	y	n
CONFIG_PACKAGE_B43_USE_BCMA	y	n
CONFIG_PACKAGE_B43_USE_SSB	y	n
CONFIG_PACKAGE_MAC80211_DEBUGFS	y	n
CONFIG_PACKAGE_MAC80211_MESH	y	n
CONFIG_PACKAGE_NTFS-3G_HAS_PROBE	y	n
CONFIG_PACKAGE_NTFS-3G_USE_LIBFUSE	y	n
CONFIG_PACKAGE_dnsmasq_full_ipset	y	n
CONFIG_PACKAGE_luci-app-diskman_INCLUDE_btrfs_progs	y	n
CONFIG_PACKAGE_luci-app-diskman_INCLUDE_kmod_md_linears	y	n
CONFIG_PACKAGE_luci-app-diskman_INCLUDE_kmod_md_raid456	y	n
CONFIG_PACKAGE_luci-app-diskman_INCLUDE_lsblk	y	n
CONFIG_PACKAGE_luci-app-diskman_INCLUDE_mdadm	y	n
CONFIG_PACKAGE_luci-app-passwall_INCLUDE_Hysteria	y	n
CONFIG_PACKAGE_luci-app-passwall_INCLUDE_NaiveProxy	y	n
CONFIG_PACKAGE_luci-app-passwall_INCLUDE_Shadow_TLS	y	n
CONFIG_PACKAGE_luci-app-passwall_INCLUDE_V2ray_Geodata	y	n
CONFIG_PACKAGE_luci-app-passwall_INCLUDE_Xray_Plugin	y	n
