package	x86_selection	action	target	reason
6in4	y	migrate	6in4	迁移功能；使用目标源码和依赖，服务默认状态单独适配
6to4	y	migrate	6to4	迁移功能；使用目标源码和依赖，服务默认状态单独适配
UAmask	y	exclude		用户暂缓 UA-Mask
acme	y	migrate	acme	迁移功能；使用目标源码和依赖，服务默认状态单独适配
acme-acmesh	y	migrate	acme-acmesh	迁移功能；使用目标源码和依赖，服务默认状态单独适配
acme-common	y	migrate	acme-common	迁移功能；使用目标源码和依赖，服务默认状态单独适配
adb	y	migrate	adb	迁移功能；使用目标源码和依赖，服务默认状态单独适配
adb-enablemodem	y	exclude		用户统一使用 ModemManager；其 mmcli/QMI/MBIM 工具覆盖此功能
adguardhome	y	migrate	adguardhome	迁移功能；使用目标源码和依赖，服务默认状态单独适配
aircrack-ng	y	migrate	aircrack-ng	迁移功能；使用目标源码和依赖，服务默认状态单独适配
amd64-microcode	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
amdgpu-firmware	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
arp-scan	y	migrate	arp-scan	迁移功能；使用目标源码和依赖，服务默认状态单独适配
arp-scan-database	y	migrate	arp-scan-database	迁移功能；使用目标源码和依赖，服务默认状态单独适配
atftp	y	migrate	atftp	迁移功能；使用目标源码和依赖，服务默认状态单独适配
atftpd	y	migrate	atftpd	迁移功能；使用目标源码和依赖，服务默认状态单独适配
atop	y	migrate	atop	迁移功能；使用目标源码和依赖，服务默认状态单独适配
attendedsysupgrade-common	y	migrate	attendedsysupgrade-common	迁移功能；使用目标源码和依赖，服务默认状态单独适配
attr	y	migrate	attr	迁移功能；使用目标源码和依赖，服务默认状态单独适配
autocore	y	exclude		保留 R3 autocore-arm，不移入 x86 初始化
automount	y	migrate	automount	迁移功能；使用目标源码和依赖，服务默认状态单独适配
autosamba	y	migrate	autosamba	迁移功能；使用目标源码和依赖，服务默认状态单独适配
avahi-dbus-daemon	y	migrate	avahi-dbus-daemon	迁移功能；使用目标源码和依赖，服务默认状态单独适配
badblocks	y	migrate	badblocks	迁移功能；使用目标源码和依赖，服务默认状态单独适配
banip	y	migrate	banip	迁移功能；使用目标源码和依赖，服务默认状态单独适配
base-files	y	migrate	base-files	迁移功能；使用目标源码和依赖，服务默认状态单独适配
bash	y	migrate	bash	迁移功能；使用目标源码和依赖，服务默认状态单独适配
bc	y	migrate	bc	迁移功能；使用目标源码和依赖，服务默认状态单独适配
blkid	y	migrate	blkid	迁移功能；使用目标源码和依赖，服务默认状态单独适配
block-mount	y	migrate	block-mount	迁移功能；使用目标源码和依赖，服务默认状态单独适配
blockd	y	migrate	blockd	迁移功能；使用目标源码和依赖，服务默认状态单独适配
bnx2-firmware	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
bnx2x-firmware	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
boost	y	migrate	boost	迁移功能；使用目标源码和依赖，服务默认状态单独适配
boost-date_time	y	migrate	boost-date_time	迁移功能；使用目标源码和依赖，服务默认状态单独适配
boost-program_options	y	migrate	boost-program_options	迁移功能；使用目标源码和依赖，服务默认状态单独适配
boost-system	y	migrate	boost-system	迁移功能；使用目标源码和依赖，服务默认状态单独适配
bridge	y	migrate	bridge	迁移功能；使用目标源码和依赖，服务默认状态单独适配
bridger	y	exclude		用户同意不移植缺失的主线桥卸载组件
broadcom-43224-sprom	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
btop	y	migrate	btop	迁移功能；使用目标源码和依赖，服务默认状态单独适配
btrfs-progs	y	migrate	btrfs-progs	迁移功能；使用目标源码和依赖，服务默认状态单独适配
busybox	y	migrate	busybox	迁移功能；使用目标源码和依赖，服务默认状态单独适配
ca-bundle	y	migrate	ca-bundle	迁移功能；使用目标源码和依赖，服务默认状态单独适配
ca-certificates	y	migrate	ca-certificates	迁移功能；使用目标源码和依赖，服务默认状态单独适配
cfdisk	y	migrate	cfdisk	迁移功能；使用目标源码和依赖，服务默认状态单独适配
cgdisk	y	migrate	cgdisk	迁移功能；使用目标源码和依赖，服务默认状态单独适配
cgi-io	y	migrate	cgi-io	迁移功能；使用目标源码和依赖，服务默认状态单独适配
chat	y	migrate	chat	迁移功能；使用目标源码和依赖，服务默认状态单独适配
chinadns-ng	y	migrate	chinadns-ng	迁移功能；使用目标源码和依赖，服务默认状态单独适配
cifsmount	y	migrate	cifsmount	迁移功能；使用目标源码和依赖，服务默认状态单独适配
cloudflared	y	migrate	cloudflared	迁移功能；使用目标源码和依赖，服务默认状态单独适配
collectd	y	migrate	collectd	迁移功能；使用目标源码和依赖，服务默认状态单独适配
collectd-mod-cpu	y	migrate	collectd-mod-cpu	迁移功能；使用目标源码和依赖，服务默认状态单独适配
collectd-mod-interface	y	migrate	collectd-mod-interface	迁移功能；使用目标源码和依赖，服务默认状态单独适配
collectd-mod-iwinfo	y	migrate	collectd-mod-iwinfo	迁移功能；使用目标源码和依赖，服务默认状态单独适配
collectd-mod-load	y	migrate	collectd-mod-load	迁移功能；使用目标源码和依赖，服务默认状态单独适配
collectd-mod-memory	y	migrate	collectd-mod-memory	迁移功能；使用目标源码和依赖，服务默认状态单独适配
collectd-mod-network	y	migrate	collectd-mod-network	迁移功能；使用目标源码和依赖，服务默认状态单独适配
collectd-mod-rrdtool	y	migrate	collectd-mod-rrdtool	迁移功能；使用目标源码和依赖，服务默认状态单独适配
comgt	y	exclude		用户统一使用 ModemManager；其 mmcli/QMI/MBIM 工具覆盖此功能
comgt-directip	y	exclude		用户统一使用 ModemManager；其 mmcli/QMI/MBIM 工具覆盖此功能
comgt-ncm	y	exclude		用户统一使用 ModemManager；其 mmcli/QMI/MBIM 工具覆盖此功能
conntrack	y	migrate	conntrack	迁移功能；使用目标源码和依赖，服务默认状态单独适配
conntrackd	y	migrate	conntrackd	迁移功能；使用目标源码和依赖，服务默认状态单独适配
coremark	y	migrate	coremark	迁移功能；使用目标源码和依赖，服务默认状态单独适配
coreutils	y	migrate	coreutils	迁移功能；使用目标源码和依赖，服务默认状态单独适配
coreutils-base64	y	migrate	coreutils-base64	迁移功能；使用目标源码和依赖，服务默认状态单独适配
coreutils-cat	y	migrate	coreutils-cat	迁移功能；使用目标源码和依赖，服务默认状态单独适配
coreutils-cp	y	migrate	coreutils-cp	迁移功能；使用目标源码和依赖，服务默认状态单独适配
coreutils-date	y	migrate	coreutils-date	迁移功能；使用目标源码和依赖，服务默认状态单独适配
coreutils-dd	y	migrate	coreutils-dd	迁移功能；使用目标源码和依赖，服务默认状态单独适配
coreutils-echo	y	migrate	coreutils-echo	迁移功能；使用目标源码和依赖，服务默认状态单独适配
coreutils-kill	y	migrate	coreutils-kill	迁移功能；使用目标源码和依赖，服务默认状态单独适配
coreutils-ln	y	migrate	coreutils-ln	迁移功能；使用目标源码和依赖，服务默认状态单独适配
coreutils-ls	y	migrate	coreutils-ls	迁移功能；使用目标源码和依赖，服务默认状态单独适配
coreutils-mkdir	y	migrate	coreutils-mkdir	迁移功能；使用目标源码和依赖，服务默认状态单独适配
coreutils-mv	y	migrate	coreutils-mv	迁移功能；使用目标源码和依赖，服务默认状态单独适配
coreutils-nohup	y	migrate	coreutils-nohup	迁移功能；使用目标源码和依赖，服务默认状态单独适配
coreutils-pwd	y	migrate	coreutils-pwd	迁移功能；使用目标源码和依赖，服务默认状态单独适配
coreutils-rm	y	migrate	coreutils-rm	迁移功能；使用目标源码和依赖，服务默认状态单独适配
coreutils-sleep	y	migrate	coreutils-sleep	迁移功能；使用目标源码和依赖，服务默认状态单独适配
coreutils-stat	y	migrate	coreutils-stat	迁移功能；使用目标源码和依赖，服务默认状态单独适配
coreutils-tail	y	migrate	coreutils-tail	迁移功能；使用目标源码和依赖，服务默认状态单独适配
coreutils-timeout	y	migrate	coreutils-timeout	迁移功能；使用目标源码和依赖，服务默认状态单独适配
coreutils-touch	y	migrate	coreutils-touch	迁移功能；使用目标源码和依赖，服务默认状态单独适配
coreutils-uname	y	migrate	coreutils-uname	迁移功能；使用目标源码和依赖，服务默认状态单独适配
cpulimit	y	migrate	cpulimit	迁移功能；使用目标源码和依赖，服务默认状态单独适配
cpusage	y	migrate	cpusage	迁移功能；使用目标源码和依赖，服务默认状态单独适配
cups	y	migrate	cups	迁移功能；使用目标源码和依赖，服务默认状态单独适配
cups-bjnp	y	migrate	cups-bjnp	迁移功能；使用目标源码和依赖，服务默认状态单独适配
cups-bsd	y	migrate	cups-bsd	迁移功能；使用目标源码和依赖，服务默认状态单独适配
cups-client	y	migrate	cups-client	迁移功能；使用目标源码和依赖，服务默认状态单独适配
cups-filters	y	migrate	cups-filters	迁移功能；使用目标源码和依赖，服务默认状态单独适配
cups-ppdc	y	migrate	cups-ppdc	迁移功能；使用目标源码和依赖，服务默认状态单独适配
curl	y	migrate	curl	迁移功能；使用目标源码和依赖，服务默认状态单独适配
dbus	y	migrate	dbus	迁移功能；使用目标源码和依赖，服务默认状态单独适配
ddns-go	y	migrate	ddns-go	迁移功能；使用目标源码和依赖，服务默认状态单独适配
default-settings	y	migrate	default-settings	迁移功能；使用目标源码和依赖，服务默认状态单独适配
default-settings-chn	y	migrate	default-settings-chn	迁移功能；使用目标源码和依赖，服务默认状态单独适配
dejavu-fonts-ttf-DejaVuSans-Bold	y	migrate	dejavu-fonts-ttf-DejaVuSans-Bold	迁移功能；使用目标源码和依赖，服务默认状态单独适配
dhcp-forwarder	y	migrate	dhcp-forwarder	迁移功能；使用目标源码和依赖，服务默认状态单独适配
dhcpcd	y	migrate	dhcpcd	迁移功能；使用目标源码和依赖，服务默认状态单独适配
dmesg	y	migrate	dmesg	迁移功能；使用目标源码和依赖，服务默认状态单独适配
dns-over-https	y	exclude		doh-client 默认先于 dnsmasq 占用 53；用户要求取消
dns2socks	y	migrate	dns2socks	迁移功能；使用目标源码和依赖，服务默认状态单独适配
dns2tcp	y	migrate	dns2tcp	迁移功能；使用目标源码和依赖，服务默认状态单独适配
dnsforwarder	y	migrate	dnsforwarder	迁移功能；使用目标源码和依赖，服务默认状态单独适配
dnsmasq-full	y	migrate	dnsmasq-full	迁移功能；使用目标源码和依赖，服务默认状态单独适配
dos2unix	y	migrate	dos2unix	迁移功能；使用目标源码和依赖，服务默认状态单独适配
dosfstools	y	migrate	dosfstools	迁移功能；使用目标源码和依赖，服务默认状态单独适配
dropbear	y	migrate	dropbear	迁移功能；使用目标源码和依赖，服务默认状态单独适配
e100-firmware	y	exclude		x86/其他外设驱动和固件，不属于本机硬件基线
e2fsprogs	y	migrate	e2fsprogs	迁移功能；使用目标源码和依赖，服务默认状态单独适配
eapol-test	y	replace-hardware		无线管理由 MTK 私有驱动及工具完整配套
eapol-test-mbedtls	m	replace-hardware		无线管理由 MTK 私有驱动及工具完整配套
eapol-test-openssl	m	replace-hardware		无线管理由 MTK 私有驱动及工具完整配套
eapol-test-wolfssl	m	replace-hardware		无线管理由 MTK 私有驱动及工具完整配套
eject	y	migrate	eject	迁移功能；使用目标源码和依赖，服务默认状态单独适配
etherwake	y	migrate	etherwake	迁移功能；使用目标源码和依赖，服务默认状态单独适配
etherwake-nfqueue	y	migrate	etherwake-nfqueue	迁移功能；使用目标源码和依赖，服务默认状态单独适配
ethtool	m	replace	ethtool-full	使用已选目标实现，避免互斥构建变体；通用运行组件编入固件（x86 原为仅编译）
ethtool-full	y	migrate	ethtool-full	迁移功能；使用目标源码和依赖，服务默认状态单独适配
exfat-fsck	y	migrate	exfat-fsck	迁移功能；使用目标源码和依赖，服务默认状态单独适配
exfat-mkfs	y	migrate	exfat-mkfs	迁移功能；使用目标源码和依赖，服务默认状态单独适配
fdisk	y	migrate	fdisk	迁移功能；使用目标源码和依赖，服务默认状态单独适配
filebrowser	y	migrate	filebrowser	迁移功能；使用目标源码和依赖，服务默认状态单独适配
firewall4	y	migrate	firewall4	迁移功能；使用目标源码和依赖，服务默认状态单独适配
fontconfig	y	migrate	fontconfig	迁移功能；使用目标源码和依赖，服务默认状态单独适配
frpc	y	migrate	frpc	迁移功能；使用目标源码和依赖，服务默认状态单独适配
fstools	y	migrate	fstools	迁移功能；使用目标源码和依赖，服务默认状态单独适配
fuse3-utils	y	migrate	fuse3-utils	迁移功能；使用目标源码和依赖，服务默认状态单独适配
fwtool	y	migrate	fwtool	迁移功能；使用目标源码和依赖，服务默认状态单独适配
geoip-shell	y	migrate	geoip-shell	迁移功能；使用目标源码和依赖，服务默认状态单独适配
