package	x86_selection	r3_selection	triage	note	x86_version	r3_version	r3_makefile	depends	provides	conflicts	build_depends
6in4	y	n	generic-candidate	目标已有定义，可迁移功能选择；尚未完成目标架构编译验证	29	29	package/network/ipv6/6in4/Makefile	+libc @IPV6 +kmod-sit +uclient-fetch +resolveip			
6to4	y	n	generic-candidate	目标已有定义，可迁移功能选择；尚未完成目标架构编译验证	13	13	package/network/ipv6/6to4/Makefile	+libc @IPV6 +kmod-sit			
UAmask	y	n	runtime-review	可用源码候选；核对默认启动、端口、规则和卸载路径	0.4.3-r1	1	package/UA-Mask/openwrt/package/Makefile	+libc @(aarch64||arm||i386||i686||loongarch64||mips||mips64||mips64el||mipsel||riscv64||x86_64) +luci-compat +libubox		ua3f-tproxy ua3f-tproxy-ipt UAmask-ipt	golang/host
acme	y	n	generic-candidate	目标已有定义，可迁移功能选择；尚未完成目标架构编译验证	4.0.0	4.0.0	package/feeds/packages/acme/Makefile	+libc +acme-acmesh			
acme-acmesh	y	n	generic-candidate	目标已有定义，可迁移功能选择；尚未完成目标架构编译验证	3.1.1-r1	3.1.1-r1	package/feeds/packages/acme-acmesh/Makefile	+libc +acme-common +wget-ssl +ca-bundle +openssl-util +socat	acme-client		
acme-common	y	n	generic-candidate	目标已有定义，可迁移功能选择；尚未完成目标架构编译验证	1.4.3	1.4.3	package/feeds/packages/acme-common/Makefile	+libc 			
adb	y	n	generic-candidate	目标已有定义，可迁移功能选择；尚未完成目标架构编译验证	5.0.2~6fe92d1a3fb17545d82d020a3c995f32e6b71f9d-r3	5.0.2~6fe92d1a3fb17545d82d020a3c995f32e6b71f9d-r3	package/utils/adb/Makefile	+libc +zlib +libopenssl +libpthread			
adb-enablemodem	y	n	modem-review	保留 ModemManager 单一拨号管理；诊断工具可按需保留	2017.03.05-r1	2017.03.05-r1	package/network/utils/adb-enablemodem/Makefile	+libc +adb			
adguardhome	y	n	runtime-review	可用源码候选；核对默认启动、端口、规则和卸载路径	0.107.57-r1	0.107.57-r1	package/feeds/packages/adguardhome/Makefile	+libc @(aarch64||arm||i386||i686||loongarch64||mips||mips64||mips64el||mipsel||riscv64||x86_64) +ca-bundle			golang/host
aircrack-ng	y	n	wireless-review	依赖主线无线栈，不能作为 MTK 私有驱动管理组件直接套用	1.7-r1	1.7-r1	package/feeds/packages/aircrack-ng/Makefile	+libc +AIRCRACK_NG_HWLOC:libhwloc +libpcap +libpcre2 +libpthread +libstdcpp +AIRCRACK_NG_OPENSSL:libopenssl +AIRCRACK_NG_GCRYPT:libgcrypt +AIRCRACK_NG_SQLITE3:libsqlite3 +libnl-core +libnl-genl +zlib			
amd64-microcode	y	n	exclude-hardware	x86/外设驱动与固件不整体搬；板级包由 R3 Mini 选择	20241110-r2	20260221-r2	package/firmware/linux-firmware/Makefile	+libc 			
amdgpu-firmware	y	n	exclude-hardware	x86/外设驱动与固件不整体搬；板级包由 R3 Mini 选择	20241110-r2	20260221-r2	package/firmware/linux-firmware/Makefile	+libc 			
arp-scan	y	n	generic-candidate	目标已有定义，可迁移功能选择；尚未完成目标架构编译验证	1.10.0-r2	1.10.0-r2	package/feeds/packages/arp-scan/Makefile	+libc +libpcap			
arp-scan-database	y	n	generic-candidate	目标已有定义，可迁移功能选择；尚未完成目标架构编译验证	1.10.0-r2	1.10.0-r2	package/feeds/packages/arp-scan/Makefile	+libc 			
atftp	y	n	generic-candidate	目标已有定义，可迁移功能选择；尚未完成目标架构编译验证	0.8.0-r3	0.8.0-r3	package/feeds/packages/atftp/Makefile	+libc +libreadline +libncurses			
atftpd	y	n	runtime-review	可用源码候选；核对默认启动、端口、规则和卸载路径	0.8.0-r3	0.8.0-r3	package/feeds/packages/atftp/Makefile	+libc +libpcre2 +libpthread			
atop	y	n	generic-candidate	目标已有定义，可迁移功能选择；尚未完成目标架构编译验证	2.12.0-r1	2.12.0-r1	package/feeds/packages/atop/Makefile	+libc +zlib +libncurses +glib2			
attendedsysupgrade-common	y	n	generic-candidate	目标已有定义，可迁移功能选择；尚未完成目标架构编译验证	9	9	package/feeds/packages/attendedsysupgrade-common/Makefile	+libc +rpcd +rpcd-mod-rpcsys			
attr	y	n	generic-candidate	目标已有定义，可迁移功能选择；尚未完成目标架构编译验证	2.5.2-r3	2.5.2-r3	package/feeds/packages/attr/Makefile	+libc +libattr			
autocore	y	n	replace	使用目标仓库 autocore-arm；不能覆盖板级初始化	42						
automount	y	y	keep-target	保留目标版本和硬件相关选择；已有包仍需检查服务配置	10	10	package/emortal/automount/Makefile	+libc +block-mount +e2fsprogs +USB_SUPPORT:kmod-usb-storage +USB_SUPPORT:kmod-usb-storage-extras +(!TARGET_ramips&&USB_SUPPORT):kmod-usb-storage-uas +kmod-fs-ext4 +kmod-fs-exfat +kmod-fs-vfat +ntfs3-mount			
autosamba	y	n	runtime-review	可用源码候选；核对默认启动、端口、规则和卸载路径	1-r12	1-r12	package/emortal/autosamba/Makefile	+libc +luci-app-samba4 +wsdd2			
avahi-dbus-daemon	y	n	runtime-review	可用源码候选；核对默认启动、端口、规则和卸载路径	0.9_rc4-r1	0.9_rc5-r1	package/feeds/packages/avahi/Makefile	+libc +libavahi-dbus-support +libexpat +librt +libdaemon	avahi-daemon		
badblocks	y	n	generic-candidate	目标已有定义，可迁移功能选择；尚未完成目标架构编译验证	1.47.0-r2	1.47.0-r2	package/utils/e2fsprogs/Makefile	+libc +e2fsprogs			util-linux
banip	y	n	runtime-review	可用源码候选；核对默认启动、端口、规则和卸载路径	1.5.6-r7	1.5.6-r7	package/feeds/packages/banip/Makefile	+libc +jshn +jsonfilter +firewall4 +ca-bundle +rpcd +rpcd-mod-rpcsys			
base-files	y	y	keep-target	保留目标版本和硬件相关选择；已有包仍需检查服务配置	0~bb287fd576	1860~ec9ef10efc	package/base-files/Makefile	+libc +netifd +jsonfilter +SIGNED_PACKAGES:usign +SIGNED_PACKAGES:openwrt-keyring +NAND_SUPPORT:ubi-utils +fstools +fwtool +SELINUX:procd-selinux +!SELINUX:procd +USE_SECCOMP:procd-seccomp +SELINUX:busybox-selinux +!SELINUX:busybox			usign/host ucert/host
bash	y	n	generic-candidate	目标已有定义，可迁移功能选择；尚未完成目标架构编译验证	5.2.37-r1	5.2.37-r1	package/feeds/packages/bash/Makefile	+libc +libncurses +libreadline			
bc	y	n	generic-candidate	目标已有定义，可迁移功能选择；尚未完成目标架构编译验证	1.07.1-r1	1.07.1-r1	package/feeds/packages/bc/Makefile	+libc +libreadline +libncurses			
blkid	y	y	keep-target	保留目标版本和硬件相关选择；已有包仍需检查服务配置	2.40.2-r1	2.40.2-r1	package/utils/util-linux/Makefile	+libc +libblkid +libuuid			
block-mount	y	y	keep-target	保留目标版本和硬件相关选择；已有包仍需检查服务配置	2024.07.14~408c2cc48e6694446c89da7f8121b399063e1067-r1	2024.07.14~408c2cc48e6694446c89da7f8121b399063e1067-r1	package/system/fstools/Makefile	+libc +ubox +libubox +libuci +libblobmsg-json +libjson-c +fstools			util-linux
blockd	y	n	generic-candidate	目标已有定义，可迁移功能选择；尚未完成目标架构编译验证	2024.07.14~408c2cc48e6694446c89da7f8121b399063e1067-r1	2024.07.14~408c2cc48e6694446c89da7f8121b399063e1067-r1	package/system/fstools/Makefile	+libc +block-mount +libubus +kmod-fs-autofs4 +libblobmsg-json +libjson-c			util-linux
bnx2-firmware	y	n	exclude-hardware	x86/外设驱动与固件不整体搬；板级包由 R3 Mini 选择	20241110-r2	20260221-r2	package/firmware/linux-firmware/Makefile	+libc 			
