source	path	origin	remote_ref	local_head	remote_head	result
main	/home/beihai/immortalwrt-mt798x-6.6	https://github.com/padavanonly/immortalwrt-mt798x-6.6	refs/heads/openwrt-24.10-6.6	ec9ef10efc65da1e6d1de4e2c043c0e13d08eed8	ec9ef10efc65da1e6d1de4e2c043c0e13d08eed8	current
packages	/home/beihai/immortalwrt-mt798x-6.6/feeds/packages	https://github.com/immortalwrt/packages.git	refs/heads/openwrt-24.10	0cb6db25afff9a17be88520bc3fdd8f4c79f80de	0cb6db25afff9a17be88520bc3fdd8f4c79f80de	current
luci	/home/beihai/immortalwrt-mt798x-6.6/feeds/luci	https://github.com/immortalwrt/luci.git	refs/heads/openwrt-24.10	80ed8a44f244627c5a9f808d09f4c3d8f985b764	80ed8a44f244627c5a9f808d09f4c3d8f985b764	current
routing	/home/beihai/immortalwrt-mt798x-6.6/feeds/routing	https://github.com/openwrt/routing.git	refs/heads/openwrt-24.10	00619bc7bc60d8b67ecc490121e45298b122cd6e	00619bc7bc60d8b67ecc490121e45298b122cd6e	current
telephony	/home/beihai/immortalwrt-mt798x-6.6/feeds/telephony	https://github.com/openwrt/telephony.git	refs/heads/openwrt-24.10	92892fa285360b8981f62bf4e0a097e6449e7e33	92892fa285360b8981f62bf4e0a097e6449e7e33	current
qmodem	/home/beihai/immortalwrt-mt798x-6.6/feeds/qmodem	https://github.com/FUjr/QModem.git	refs/heads/main	c1db0fe2067955d6b9c6b43efff1b69259f4b096	c1db0fe2067955d6b9c6b43efff1b69259f4b096	current
daed	/home/beihai/immortalwrt-mt798x-6.6/feeds/daed	https://github.com/sbwml/luci-app-daed-next.git	HEAD	38acd99ff823e4cc5b31fa626c2dd7654b61e893	38acd99ff823e4cc5b31fa626c2dd7654b61e893	current
luci-app-onliner	/home/beihai/immortalwrt-mt798x-6.6/package/luci-app-onliner	https://github.com/danchexiaoyang/luci-app-onliner.git	HEAD	f4387aee9b0f4dd17d193e8a16ae6b8c74eb695b	f4387aee9b0f4dd17d193e8a16ae6b8c74eb695b	current
qosmate	/home/beihai/immortalwrt-mt798x-6.6/package/qosmate	https://github.com/hudra0/qosmate.git	HEAD	5a27872a2274c01eb42d7e0728cab6331fadf6bb	5a27872a2274c01eb42d7e0728cab6331fadf6bb	current
luci-app-qosmate	/home/beihai/immortalwrt-mt798x-6.6/package/luci-app-qosmate	https://github.com/hudra0/luci-app-qosmate.git	HEAD	6d2abc73d463fbf314d52404ce1b010544b0bca2	6d2abc73d463fbf314d52404ce1b010544b0bca2	current
watchdog	/home/beihai/immortalwrt-mt798x-6.6/package/watchdog	https://github.com/sirpdboy/luci-app-watchdog.git	HEAD	4c0ad625c7385c20e53aca9bcb78fa4ba518991c	4c0ad625c7385c20e53aca9bcb78fa4ba518991c	current
luci-theme-kucat	/home/beihai/immortalwrt-mt798x-6.6/package/luci-theme-kucat	https://github.com/sirpdboy/luci-theme-kucat.git	HEAD	1c8e7f7c1052552f4fac09d60e5adc07ed33bfa3	1c8e7f7c1052552f4fac09d60e5adc07ed33bfa3	current
luci-app-kucat-config	/home/beihai/immortalwrt-mt798x-6.6/package/luci-app-kucat-config	https://github.com/sirpdboy/luci-app-kucat-config.git	HEAD	e51de5e4f9c98c234777c26948ff454a2ae3dc99	e51de5e4f9c98c234777c26948ff454a2ae3dc99	current
luci-app-poweroffdevice	/home/beihai/immortalwrt-mt798x-6.6/package/luci-app-poweroffdevice	https://github.com/sirpdboy/luci-app-poweroffdevice.git	HEAD	8f53359c3234c7c398b846b5425f9b0b017c03ec	8f53359c3234c7c398b846b5425f9b0b017c03ec	current
luci-app-taskplan	/home/beihai/immortalwrt-mt798x-6.6/package/luci-app-taskplan	https://github.com/sirpdboy/luci-app-taskplan.git	HEAD	babd67a496a592ad9bd625fbc08db804cff45ab9	babd67a496a592ad9bd625fbc08db804cff45ab9	current
luci-app-advancedplus	/home/beihai/immortalwrt-mt798x-6.6/package/luci-app-advancedplus	https://github.com/sirpdboy/luci-app-advancedplus.git	HEAD	aba81aa40e0f9aa1f1c5a69ee66a7a943a5f6384	aba81aa40e0f9aa1f1c5a69ee66a7a943a5f6384	current
UA3F	/home/beihai/immortalwrt-mt798x-6.6/package/UA3F	https://github.com/SunBK201/UA3F.git	HEAD	7a3869714df6b46af7b1a52287e6560d4bfbd6ba	7a3869714df6b46af7b1a52287e6560d4bfbd6ba	current
UA-Mask	/home/beihai/immortalwrt-mt798x-6.6/package/UA-Mask	https://github.com/Zesuy/UA-Mask.git	HEAD	83846d3780b1e30f87816310ae75d95798a5bd4d	83846d3780b1e30f87816310ae75d95798a5bd4d	current
luci-app-adguardhome	/home/beihai/immortalwrt-mt798x-6.6/package/luci-app-adguardhome	https://github.com/sirpdboy/luci-app-adguardhome.git	HEAD	73ecb5d6a2bddc43e9273bccab2719728a238c1e	73ecb5d6a2bddc43e9273bccab2719728a238c1e	current
luci-app-modem	/home/beihai/immortalwrt-mt798x-6.6/package/luci-app-modem	https://github.com/qianlyun123/luci-app-modem.git	HEAD	3a2137336635d27b8b83f1f477384366b081a491	3a2137336635d27b8b83f1f477384366b081a491	current
luci-app-athena-led	/home/beihai/immortalwrt-mt798x-6.6/package/luci-app-athena-led	https://github.com/NONGFAH/luci-app-athena-led.git	HEAD	f8eeb3119008ac0e429fc642c125512f9253ec1b	f8eeb3119008ac0e429fc642c125512f9253ec1b	current
luci-app-nikki	/home/beihai/immortalwrt-mt798x-6.6/package/luci-app-nikki	https://github.com/nikkinikki-org/OpenWrt-nikki.git	HEAD	3799926b147d7065ac98508f16951f8714e53659	3799926b147d7065ac98508f16951f8714e53659	current
